"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Flint";362.053846;3.221715783;14.67628177;69.96653933;864.63;13.47007535
"Dent";348.053846;2.546715783;14.07628177;70.19153933;946.55;16.62007535
"Dent";336.5215384;4.248686313;11.57051271;69.80661573;1015.98;17.22868882
"Tropical";336.4906647;3.996024406;14.05530191;69.74606955;888.17;13.70853689
"Flint";285.7406647;3.721024406;14.33030191;66.27106955;865.52;13.01622919
"Flint";331.553846;3.346715783;12.10128177;71.56653933;865.55;12.22776766
"Flint";299.303846;3.821715783;14.35128177;66.41653933;821.19;12.78545996
"Flint";311.553846;3.846715783;13.12628177;67.66653933;842.11;12.24699842
"Flint";313.053846;3.471715783;13.60128177;70.16653933;874.5;14.42868882
"Flint";324.303846;3.596715783;11.52628177;73.31653933;846.49;15.01622919
"Flint";322.803846;3.796715783;10.75128177;73.24153933;881.61;14.2295353
"Flint";310.303846;3.871715783;12.17628177;70.69153933;874.01;15.24699842
"Flint";299.803846;3.096715783;16.92628177;64.94153933;850.64;13.78868882
"Flint";319.053846;3.771715783;11.50128177;69.71653933;830.23;14.75853689
"Flint";330.053846;2.821715783;14.00128177;68.31653933;855.63;14.51622919
"Flint";303.053846;4.121715783;13.27628177;68.31653933;865.55;14.02776766
"Flint";320.053846;3.371715783;12.15128177;72.61653933;869.11;14.17007535
"Flint";301.303846;3.021715783;14.27628177;67.94153933;919.24;13.92752769
"Tropical";369.3652116;3.995744424;12.66303604;70.24132527;1646.81;30.58112798
"Dent";385.0681135;1.901563042;11.24726042;70.13008236;1130.37;20.51622919
"Dent";361.8615852;1.621758474;13.63122683;66.06612262;1098.93;16.9
"Dent";377.3787598;2.201156429;13.23023625;71.1541233;960.97;16.22868882
"Dent";347.553846;2.846715783;13.37628177;69.49153933;943.7;16.86238304
"Flint";308.3787598;5.526156429;16.68023625;60.0291233;1010.59;17.36238304
"Tropical";351.3787598;2.501156429;14.10523625;68.7791233;979.48;15.90227354
"Flint";346.7347802;2.101563042;14.24726042;68.56341569;1142.88;22.94868882
"Flint";375.4014468;6.134896376;13.71392708;64.29674902;1051.65;18.50469073
"Tropical";366.6287598;3.176156429;9.930236248;72.3041233;1210.39;24.26622919
"Tropical";292.48117;3.661172179;13.77932759;64.35800183;1382.46;22.7
"Tropical";347.48117;2.961172179;10.97932759;73.45800183;1312.33;21.10868882
"Dent";347.2492532;2.43031667;13.04674449;69.82464871;1288.55;21.88586103
"Dent";357.8652116;2.745744424;11.31303604;72.39132527;1230.02;22.62868882
"Dent";369.6287598;3.126156429;11.35523625;72.5791233;1110.64;20.81622919
"Dent";361.8787598;2.026156429;13.45523625;71.0541233;1095.01;17.06868882
"Dent";344.553846;3.396715783;14.10128177;67.24153933;1021.77;16.51622919
"Dent";374.6287598;3.451156429;13.53023625;69.1041233;1042.99;17.59315227
"Flint";326.1287598;3.526156429;14.53023625;71.2791233;1068.89;16.64315227
"Flint";328.6287598;3.551156429;10.05523625;74.4791233;1024.31;16.58868882
"Flint";356.1287598;2.251156429;13.33023625;72.7291233;1075.67;17.18868882
"Flint";319.2406647;3.946024406;13.93030191;68.54606955;958.62;17.84419436
"Tropical";347.303846;3.046715783;14.17628177;68.66653933;964.71;15.22776766
"Tropical";325.6155137;3.695931079;14.52454662;67.27782146;989.8;17.11238304
"Dent";329.553846;3.521715783;14.60128177;65.61653933;972.74;17.34868882
"Dent";364.6287598;2.526156429;13.18023625;68.9041233;1022.08;18.40084458
"Dent";330.3787598;3.151156429;12.50523625;68.4041233;1027.21;17.92007535
"Dent";359.5409104;4.366019094;11.62450284;69.76652396;1159.04;20.00337026
"Dent";345.6152116;5.245744424;11.81303604;68.99132527;1205.01;22.94390548
"Dent";355.6287598;3.276156429;11.63023625;71.6541233;1082.91;17.06868882
"Tropical";350.6287598;4.201156429;10.95523625;70.2541233;1344.73;24.59315227
